;count
Heinrichs & Cokg;1
Heilswannenweg 66;1
Heidenbluth;1
Heiden Power;1
Heba Teck;1
Heathcote Industrial Plastics;1
Hch Perschmann;1
Hcd Technik;1
Hauptzollamt Berlin;1
Hagn – Technische Elastomere;1
Haugg Industriekďż˝Hler;1
Haufe Werbung Görlitz;1
Hartensteinstraße 29;1
Happich Logistikzentrum;1
Hans Stork Betreibsgesellschaft;1
Hans Knobloch Maschinen Und Werkzeugbau;1
Hanmacher Beschläge;1
Handling Tech Automations Systeme;1
Hamburger Hochbahn Deutschland;1
Hallstein Maschinenbau;1
Hallstein Maschienenbau;1
Halle 2;1
Halfen Deha;1
Gmt Gummi Metalltechnik  Werk 6;1
Glova Rail A S;1
Gloria;1
Fritz Rensmann & Co Kg;1
Geb18 Aufg B304;1
Geb Schürer;1
Geag Notlichtsysteme;1
Gca Pusignan;1
Gca  Mira Barcosa;1
Gally Spa Su;1
G8 Investment Kft;1
Fábrica: Trápaga;1
Fvk Außenlager Paul Schockenmöhle;1
Funke Sicherheitssysteme;1
Funk Fuchs & Co Kg;1
Fundiciones Del Estanda;1
Fuchs Lubricants Germany;1
Fritz Becker;1
Gebr Fetting;1
Friedrich Köster;1
Freudenberg Sealing Technologies Bau 75 1 Og;1
Freudenberg Sealing Technologies;1
Freudenberg  Fft  Bau 355;1
Fresenius Umwelttechnik;1
Freja;1
Frederik Adebahr;1
Fraunhofer Instritut Für Bauphysik;1
Frauenhofer Institut F Siliziumtech Isit;1
Frank Lucas;1
Frank Haase;1
Forgex Raguet;1
Forgex;1
Gebr Becker;1
Gebr Schürer;1
Global Transaction Banking;1
Gillet Group;1
Glm Lasermeßtechnik;1
Gleniar;1
Glas Trösch Zweigniederlassung Rail;1
Glas Trösch Ursenbach;1
Gl Spezialverglasungen;1
Gl Spezialverglasung Niederlassung Mannheim;1
Gkn Sinter Metals Filters;1
Gk Formblech;1
Giprogmbh;1
Gino Rma3190;1
Gino Elektrotechnische Fabrik;1
Gima E K;1
Gillet Tools;1
Gglobal Logistic Services;1
Gedore Torque Solutions;1
Gfe Fremat;1
Gez Rail Solutions Halle Iii;1
Getec;1
Get Gesellschaft Für Elektro Technik;1
Gesellschaft Für Gerätebau Mbh;1
Gerken;1
Gerd Stettin;1
Gerd Blumenau;1
Gerald Heyn (Harting Deutschland &Cokg);1
Georg Jordan;1
Geodis On Behalf Of Atos;1
Gefertec Warenannahme;1
Gefeg Neckar Antriebssysteme;1
Dipl Ing Rupert Huber;1
Diehl Aviation;1
Dfv;1
Bel Power;1
Ateliers Techniques Mob Golden Pass Route De Chaulin 3 1822 Chernex;1
Asti Officine Tiberico;1
Ast Dresden Mess & Regeltechnik;1
Aser Schneid Und Gerätebau;1
As Taylor Transport Branston Industrial Estate;1
As Drives&Service;1
Artek Kesi̇M Teknoloji̇Leri̇ Ti̇Cltdşti̇;1
Arte Legno Composito (Switzerland);1
Arsam (Almacén);1
Arnold;1
Aris Antriebe & Steuerungen;1
Argatek (Ekide);1
Argatek  Ekide;1
Aq Wiring Systems Spzoo;1
Aq Trafo  Aq Magnit Ad;1
Aq Electric Ad El Cabinets Division;1
Aq Components Kodara;1
Aptomet;1
Apleona Nordost;1
Apleona Mitte West;1
Aoa Apparatebau;1
Antonio Perez;1
Antonics Businesspark;1
Antonics;1
Anritsu;1
Angst & Pfister;1
Angelstar Srl;1
Andrew Wireless Systems;1
Andreas Keiner Institut Für Lackprüfung Projekt Ice 4;1
Atherm;1
Atp Spa;1
Atradius Kreditversicherung;1
Baier + Koeppel & Co Kg;1
Behrendt;1
Becorit Abteilung: Testcenter;1
Beckers Group;1
Becker;1
Be Ge Industrie;1
Bayrische Oberlandbahn;1
Baumer Distributionszentrum;1
Barth + Co Kontraktlogistik & Central Warehouse;1
Barrat Saint Aignan;1
Barnshaws Polska Z Oo;1
Barat Ceit;1
Banco Bilbao Vizcaya Argentaria;1
Baker Hughes;1
Bahnstraße 65;1
Autohaus Berolina;1
Bachmann Electronic;1
Bacher Blechbearbeitung;1
BFG International;1
B+Z Elektronik;1
Ayse Karakus;1
Avt Europe;1
Avi;1
Außenlager Kupferhammer (Rämsch);1
Auxel;1
Automotive Components Reiter;1
Automationsteknik;1
Autohaus Gneumann;1
Autohaus G Neumann;1
Andreas Heuberger;1
Andreas Grothe;1
Andre Lange;1
Aa;1
Acton Works Depot Rew Goods In  Ac01;1
Action Gmg;1
Actia Systems Polígono Industrial “Los Olivos”;1
Acr Automotive Components;1
Acito Logistics;1
Acierplus Biars Sur Cère;1
Ac Salzinnes  Ateliere Sncb;1
Abtech;1
Abrm Instandhaltungswerk Sangerhausen;1
Abn Amro;1
Abel Marrero;1
Aa Logistics;1
Aa Logistic;1
A+K Hauschulz;1
Adrian Dasgupta;1
A Z Oberflächenveredelung;1
A Brickwedde;1
50 Beechtree Blvd;1
4Ps Central Station Deutschland;1
4Plcentral Station Deutschland;1
4 Rue De Londres;1
3M Deutschland;1
3 Zumpeweg;1
28 Schopshoferweg;1
20 In Der Beckuhl;1
2 Rue Henry Potez;1
2 4 Rue Du Dery;1
11 Rue Pierre Et Francoise Allaire;1
Adag;1
Aeroquip Hydraulik Service;1
Amr Hydraulik Dresden;1
Alco;1
Amperio;1
Ameron Frankfurt Neckarvillen Bouti;1
Amco Metall;1
Amco Das;1
Ambratec;1
Am Rathenaupart;1
Am Gewerbering;1
Alupoint & Co Kg;1
Aluminium Technik Weißenburg;1
Alsotm Rail Sweden;1
Alsace Toierie;1
Alois Berger & Co;1
Alcohol & Drug Checking Systems;1
Albert Fezer Maschinenfabrik;1
Agc Tiv Seneffe;1
Akkutron Handels;1
Akkuplus & Co Kg;1
Akemi;1
Ajax Loktechnik;1
Ait Austrian Institute Of Technology;1
Ais;1
Airsec Center;1
Airflow Lufttechnik;1
Air Wolf;1
Air Color Dresden;1
Agentur Für Arbeit;1
Agence Duplat;1
Agence Dessais Ferroviaire;1
Beijing Realhawk Tianyu Technology Co;1
Benning Elektronik & Elektrotechnik & Co Kg;1
Devotec;1
Bentheimer Eisenbahn;1
Continental Business Area Contitech;1
Contec Industrieausrüstungen;1
Consillium Marine & Safety;1
Consilium Marine&Safety;1
Consilium Marin & Safety;1
Conny Krauspe;1
Company Technicentre Sncf De Nevers Ateliers A7  Unite 47020 Abris Tie;1
Company Sc Indaeltrac Srl;1
Company Dsb Vedligehold;1
Commscope Technologies Andrew Wireless Systems;1
Comeg;1
Comatis;1
Cocheras De Metro Cuatro Vientos;1
Cm4 Enginyeria;1
Clerprem Spa;1
Clerprem;1
Clarion Collection Hotel Etage;1
Ciemmebi;1
Christtoph Luders Str;1
Christin Purmann;1
Christian Uhli;1
Christian Funke;1
Christian Bauer + Co Kg;1
Chocholná Velčice 999;1
Ceva Logistics Poland;1
Cetim Thierry Chaintreuil;1
Cetim Saint Etienne;1
Cetim;1
Ceské Dráhy  Ocú Západ;1
Corex Srl;1
Credit Agricole Corporate & Invest Bank;1
Critical Software Lisbon;1
Db Energie Energieanlagenservice Ost;1
Deußen Logistik Ludwigsfehlde;1
Despres Cedric;1
Depot De Lijn Deurne Product Introduction;1
Dehn Se;1
Deg Deutsche Elektro Gruppe;1
Decoral System Srl;1
De Lijn Antwerpen Antwerpen Noord;1
Dcp Dettmer Container Packing & Co Kg;1
Db Systemtechnik It Ivp21 Geb V21 Kalibrierservice;1
Db Services  Postservice;1
Db Schenker Magazyn Logistyczny W Bydgoszczy;1
Db Fahrzauginstandhaltung;1
Db Fahrverkehr Werk Spähenfelde;1
Db Dessau;1
Crosscontrolab;1
Db Cargo Werkebereich West;1
Db Cargo Seelze;1
Db Cargo  Eurocargorail;1
David Stäbner;1
Datatec;1
Danto Invention & Co Kg;1
Daniel Krüger;1
Dan Dryer A S;1
Dachser Spedition;1
D Toussaint Chemin De La Porte Rouge;1
Cts Container Terminal;1
Ct Park Storage Hall Number > A2;1
Ct Park;1
Ceske Drahy As;1
Ceska Sporitelna Qw;1
Ceska Sporitelna As A332 01 Team;1
Blg Industrietechnik &Co Kg;1
Bremer Straßen;1
Brecknell Willis Goods Outwards;1
Braunschweiger Verkehrs;1
Boyd;1
Bossard France;1
Bossard Austria;1
Borntalstraße 43;1
Borcad Cz As;1
Bohl;1
Bn Laser & Co Kg;1
Bls;1
Block Transformatoren;1
Blickle Räder+Rollen;1
Blg Industrielogistik & Cokg;1
Brezina 102Kovis Doo;1
Blg Industrielogistik;1
Biw Isolierstoffe;1
Bistolfi Srl;1
Bil Industrielackiererei;1
Bhepwoth Company;1
Betül Lobmeyer;1
Betz Kunststofftechnik Ek;1
Berolina Metallspritztechnik Wesnigk;1
Bernstrasse 281;1
Bernstein;1
Bernd Opitz;1
Bernd Kunze;1
Benzstr;1
Bresser Technology;1
Britta Frühauf;1
Centrum Telematiky A Diagnostiky Ùsek Diagnostiky Zabezpecovaci A Ra;1
Cargounit Z Oo;1
Centro Logistico De Renfe En Alcaza;1
Centro Logistico De Renfe;1
Centralbahn;1
Cellofoam Internationnal & Co Kg;1
Cellofoam International & Cokg;1
Cellofoam International;1
Ceit Zone Industrielle Nord;1
Cb Elmec;1
Carsten Marschner;1
Carl Walter Produktions & Co Kg;1
Carl Kurt Walther;1
Carl Bosch Str 5;1
Cargounit Z Oo Wrocław;1
Captrain Polska Depot Lokomotywowni;1
Brunel;1
Bümi Präzisionszerspannung & Co Kg;1
Büfa Composite Systems & Co Kg;1
Böhmer Gusstechnik & Co Kg;1
Bvsys Bildverarbeitungssysteme;1
Buschjost;1
Burulaş Bursaray;1
Bursa Büyükşehir Belediyesi;1
Bursa Büyüksehir Belediyesi Bursaray Isletme Merkezi;1
Buday D Amico;1
Buchen Sweden;1
Btren Mantenimiento Ferroviario Nueva Base De Mantenimiento Integral Renfe De Valladolid;1
Bst;1
Bsd;1
Hema Kunststoff;1
Henschel Antriebstechnik;1
Herbert Hoffmann;1
Oliver Wehmeier;1
Net Db Fahrzeuginstandh Außenlager Henschelhallen;1
Neomind;1
Nedelka Kubác Advokáti Sro (Jitka Linhartová);1
Neb Betriebsgesellschaft;1
Neasden Depot Stores;1
Natixis Corporate & Investment Banking;1
Nan;1
Naczelnik Drugiego Urzedu Skarbowego Warszawa Sródmiescie;1
Na Okluku 604;1
N + S Norm Und Sonderschrauben;1
Müller & Borggräfe;1
Mühlweg;1
Mühlberger;1
Möve Fahrzeugtechnik;1
Mäuler Logistik & Co Kg;1
Máv Start Zrt;1
Mytec Praezisionswerkzeuge;1
Mws Aluguss Klagenfurt;1
Mustafa Bacak;1
Musfeld Aircotech;1
Murplastik Systemtechnik;1
Muhammad Zafar;1
Muecap Vertriebsges Für Elektronische Bauelemente Mbh;1
Muecao Vertriebsges Mbh;1
Msv Metal Studénka As;1
Ms Mississauga_Se;1
Mr Haydn Vaughan Fleet Director Beacon Rail Leasing Limited;1
Move Fahrzeugsitze;1
Motsch Industrielackierung;1
Net Module;1
Netherlandse Spoorwegen Sco Lc;1
Neue Straße 1;1
Norddeutsche Elektrogroßhandelsgesellschaft Mbh;1
Oilcheck Retoure;1
Officine Stefanuto Srl;1
Oem Elektroniks;1
Odenwald Chemie Versand Tor2 Ost;1
Obul;1
O Fa Fft Produktionssysteme;1
Ns Onderhoudsberijf Onnen;1
Ns Onderhoudsbedrijf;1
Ns Leidschendam;1
Nosta;1
Norsborg Depa;1
Noris Automation;1
Nordisk Factoring A S Brodersen Controls;1
Nora Systems Logistik  Bau 69 Tor 3;1
Neuweiler Schweisstechnologie Und Maschinenbau;1
Nora Systems;1
Noma Transportation Design;1
Nmc;1
Nmb;1
Nils Ralfs;1
Niles;1
Niigata Transys Co Niigata Works;1
Nieday France;1
Nico Riffer;1
Ngs Union Kft;1
Nexans Schweiz;1
Nexans France;1
Nexans Deutschland;1
Mors Smitt Uk Limited;1
Moosmatt;1
Mondo Luxemburg;1
Max Systems;1
Metalik Spol S Ro;1
Met  Eurosystem Z Oo;1
Meltio Dept Poligono Industrial Los Rubial;1
Mekanotjänst;1
Meier Anlagenservice;1
Medical Care & Support;1
Mecatraction;1
Me Tec Srl;1
Mcr Engineering Lausitz;1
Mc&S Medical Care & Support;1
Mbm Industry & Rail Tech;1
Mbc March Beschichtungscenter;1
Maximilan Mohr;1
Mav Start Zrt Jbi Th Ferencvaros;1
Metallbau Arandt Gdr;1
Mauersberger & Fritsche & Co Kg;1
Matzen & Timm;1
Matthias Jursch;1
Matthias Dittrich;1
Matthes Maschinen Industrietechnik;1
Maschinenfabrik Liezen Und Giesserei Gesmbh;1
Maschinenbau Und Service Ammendorf;1
Maschinen Und Metallbau Bernd Ehmke;1
Marvin Schaller;1
Martin Rose;1
Martin Maass;1
Martin Jehle;1
Martin Heitze & Cokg;1
Metall Konzept & Cokg;1
Metallgiesserei Spremberg;1
Moeve Fahrzeugsitze;1
Microelettrica Scientifica Spa Via Lucania 2  20090 Buccinasco Milano (Italy);1
Mobile Climate Ontrol;1
Mittli & Co Kg;1
Mitteldeutsche Eisenbahn Dow Olefinverbund;1
Mitsubishi Electric Klimat Transportation Systems Spa;1
Mitsubishi Electric Klimat Transport System;1
Mineralmahlwerkt Hamm;1
Mikromat;1
Mikroma;1
Mike Kiesewetter;1
Mike Baert;1
Miejskie Przedsiębiorstwo Komunikacyjne;1
Microsensys Rfid In Motion;1
Microsensys;1
Micro Epsilon Messtechnik & Co;1
Metallgießerei Spremberg;1
Michel  Planen;1
Michael Van Lierde;1
Michael Magerl;1
Michael Bernhard;1
Miba Cooling Austria & Co Kg;1
Mg Industrieelektronik;1
Mfm Metallverarbeitung Mangner;1
Metrosector Waalhaven;1
Metronom Eisenbahn;1
Metalock Engineering;1
Metallwarenfabrik Bremen Vegesack;1
Metallwarenfabrik Bremen Gmgh;1
Metallguss Finsterwalde;1
Olaf Behrens;1
Omav Depot;1
Mark Thauer;1
Omc Etr Trenitalia Trainset 3;1
Railmaint Werk Delitzsch;1
Railcare T C O Kaunis Iron Terminal;1
Railcare Lokverkstad;1
Rail& Road Protec;1
Rail Power Systems;1
Rail Bohamet Oo;1
Rail Adventure Zughotel Ice4;1
Raiffeisenlandesbank Niederösterreich Wien;1
Rafi Gmbh&Co Kg;1
Radel (Pty) Meadowbrook Business Estate;1
Radel (Pty);1
Raaco;1
R Gansczyk;1
Qcs Quick Cargo Service;1
Qarbone (Groupe 6Napse)  94 Avenue Du Progrès Bâtiment D2 69680 Chassieu;1
Qarbon  94 Avenue Du Progrès Batiment D2;1
Pöppelmann & Co Kg;1
Pws Netphen;1
Pwk Knöbber & Cohandels Kg;1
Pwc Österreich;1
Pwb  Presswerk Böhl;1
Purkart Systemkomponenten & Co Kg;1
Ptc Rail Service;1
Ptc Corporate Administration;1
Pt Inka Multi Solusi Service;1
Pt Cpmunication Systems Pvt;1
Psi Speditons Mitsu Rail Capital Europe;1
Psi Spedition;1
Prose;1
Railpartner;1
Railpartner Sro;1
Ralf Schwarzer;1
Regensburger Ring 6 8;1
Rhein Neckar Verkehr Lager Ludwigshafen;1
Rfs World;1
Rfpd Operations Arrows Electronics Dlc;1
Rennsteig Werkzeuge;1
Renfe Villaverde  Omi De Madrid;1
Renfe Villaverde  Bmi De Madrid;1
Rene Debik;1
Rem Isoconex Creabois Concept;1
Reis Robotics & Cokg;1
Reifen Tauchmann;1
Reichenbacher Hamuel;1
Reichelt Elektronik;1
Reguvis Fachmedien;1
Regel Und Steuergeräte;1
Ralf Schwarzer Verkehrstechnik Werk 2;1
Regatron;1
Redur Málaga Logística Sl;1
Recht Logistik C O Bochumer Verein Verkehrste;1
Rebs;1
Re In Retail Internat;1
Razorsecure;1
Ravensburger Straße 128 134;1
Rattay;1
Rapid Mechanic;1
Raphael Ringot;1
Raphael Hofstädter;1
Rame Service Srl;1
Ramboll Deutschland;1
Promotion Service;1
Promeco Oy Yrityspuisto;1
Produktion Service Drach;1
Otto Ganter Gmbh& Co Kg;1
Peter Kollegger Ingenieurbüro;1
Perschmann Calibration;1
Pcs Professional Conference Systems;1
Pbf Engineering;1
Pas;1
Partex Marking Systems Z Oo;1
Parker Hannifin Industrial Sro;1
Parker Hannifin & Co Kg;1
Panduuit Ecw B V;1
Pack Solution Drach;1
Outokumpu Nirosta;1
Ottostahl;1
Otto Schoch;1
Otto Ganter & Co Kg;1
Pfbw Be 3 (Ice Werk);1
Ottec;1
Ostmecklenburgische Bahnwerke;1
Osg Iba Industrieberatung Dirk Abrie;1
Osg  Oran Safety Glass;1
Orx;1
Orion Bausysteme;1
Orbit One;1
Oratório Sys;1
Oran Palmach Tzuba;1
Oostzeestraat 1;1
Onderlift;1
Omnikon Notsignaltechnik;1
Omerin Division Silisol;1
Petr Halberstat Jv Trade Wg Sro Cz;1
Pfbw Be3;1
Prodel Electronics Z Oo;1
Podnikatelska 556;1
Preßnitztalbahn;1
Precitec & Co Kg;1
Precision Polymers Uk Moorland James Dawson;1
Precision Plymers Uk Moorland Site James Dawson;1
Ppt & Co Kg;1
Pphu Slavek Sławomir Jakubiak;1
Pp Uhr Komp Pdt Dgs;1
Powerbrige Computer;1
Powerbridge Computer;1
Power Lab;1
Polyvalente Werkplaats Melle;1
Polyval;1
Poly Tec;1
Pmo  Orlade Group;1
Pfinder Kg;1
Pleissner Guss;1
Plauener Strassenbahn;1
Pl 05 303 Minsk Mazowiecki Ul Dzwigowa 8;1
Pkp Cargo International As;1
Piotre Luczak;1
Pilkington Deutschland;1
Pilkington Automotive Finland Oy Laitila Factory;1
Pictum Oberflächentechk;1
Piccolo K L Behaltertechnik;1
Picaso Systems;1
Phoenix Cotact & Co Kg;1
Phoenix 3D Metaal;1
Philipp Heidvogel;1
Martek Power F;1
Magneti Ljubljana Dd;1
Herkules Presswerk Heerdt;1
Jessica Leemann;1
Innosent;1
Ingram Micro;1
Ingkwöhrer;1
Ingenieurbüro;1
Ing Erhard Fischer;1
Infranord Av;1
Infineon Technologies;1
Ineltro;1
Industrikomponenter Schaltbau;1
Industrikomponenter Inkom;1
Industriestrasse;1
Industrie Hydraulik;1
Industrial C & S Germany;1
Indupol International  Hoge Mauw Industriezone;1
Inductron Inductive Electronic;1
Inductron;1
Incorion Power Systems;1
Incoil Unduktion Pär Kapos;1
Ims Verbindungstechnik & Co Kg;1
Ime Elektrotechnik;1
Imcon Consulting;1
Im Unteren Feld 10;1
Im Instytut Mechaniki;1
Im Grüntal;1
Im Gorden 20;1
Ikerlan;1
Igw Romania;1
Iftec Gmbmh & Co Kg;1
Iftec;1
Innotech Marketing Und Konfektion Rot;1
Instalaciones Y Montajes Margon Sl;1
Institut Für Korrisionsschutz;1
Italcertifer Laboratori Test Wheelsets Zefiro;1
Jens Schneider;1
Jens Löwe;1
Jens Eek;1
Jenoptik Industrial Metrology Germany;1
Jenaer Verkehr;1
Jean Aret Zwar;1
Jana Sauer;1
Jan Marczyk Instytut Kolejnictwa Osrodek Eksploatacji Toru Doswiadczalnego Ik;1
Jacob Elektronik;1
J Siebmanns (Fabrik F Elektrotechnik);1
Izimmermann Maschinenbau;1
Ivu Traffic Technologies;1
Itt Ics;1
Istituto Giordano Spa  Gatteo Branch;1
Institut Für Maschinen;1
Istituto Giordano Spa;1
Istituto Giordano;1
Israel Depot Lod;1
Isr International Service& Repair;1
Isovolta Weren Nerndorf;1
Isolex C O Msm Stampi;1
Irmie Impianti Srl;1
Iph  Institut Prüffeld Für Elektr Hochleistungstechnik;1
Intime Express Logistik;1
Intertek Nederland Commoditie;1
Intermas Elcom;1
Interautomation Deutschland;1
Intecma Anlagentechnik C O Leg Leipziger Eisenbahnverkehrsgesellschaft Mbh;1
Ifoha & Co Kg;1
Ife;1
Idea Logisitics;1
Hima Paul Hildebrandt;1
Hr Andreas Langer;1
Howden Turbowerke;1
Hottinger Bruel & Kjaer;1
Hottinger Bruel;1
Hotel Centrovital;1
Hotel  Ibis Berlin Spandau;1
Horn;1
Holger Lisson;1
Hoffmann Supplay Chain;1
Hlg Holzlogistik Und Güterbahn Sicherheitsmanagment;1
Hlg;1
Hisarlar Makina Sanayi Ve Ticaret As;1
Hisarlar;1
Hga  Technik & Handel;1
Hr Martin Bienert;1
Hfg Transport Technik;1
Heyden Securit;1
Hexden Securit;1
Hess Bsh;1
Herrn Frank Beutner;1
Herr Wolfgang Postler;1
Herr Thomas Rosnerski;1
Herr Reiner Krukenberg;1
Herr Peter Solhart;1
Herr Jörg Winkelmann;1
Herr Hubertus Frerejean;1
Herr Hans Joachim Flader;1
Herr Erik Papenfuß;1
Hr Klaus Welsch;1
Hr Martin Jurenz;1
Ics Schneider Messtechnik;1
Hydac Verwaltung Zentrallager Werk 18D;1
Icomera Gate 2 & 3;1
Ice Werk Leipzig;1
Ibs Institut Für Brandschutztechnik Ges Mbh;1
Ibh Elektrotechnik;1
Ibc Wälzlager;1
Iat Srl;1
Iam Industrievertretung Ameyer;1
Iabg;1
Hörmann Vehicle Engineering;1
Härtetechnik Hagen;1
Hytork Vertriebsbüro;1
Hytorc Vertrieb Und Service;1
Hydraulik Bauteile;1
Hydac Systems Services;1
Hse Hennigsdorfer Stahl Engineering;1
Hydac Servicestelle Nord;1
Hydac International;1
Hy Line Power Components Vertriebs;1
Hvle Havelländische Eisenbahn;1
Hvl Eisenbahn;1
Hugro Armaturen;1
Hugo Küttner Straße 1 A;1
Huckele Metallverarbeitung Cnc Bearbeitung;1
Hu6 Cisco International;1
Htv Conservation;1
Hts Heat Transfer Systems Sro;1
Hsl Logistik;1
Hsgm Heisschneide Geräte Udn Maschinenbau;1
Jensen Aaron;1
Jiří Svoboda;1
Mag Industrie Batterie Service;1
Jl Automatik;1
Linz Linien  Bahnmagazin;1
Linklaters;1
Lilie & Cp Kg;1
Lilie & Cokg;1
Leroy Automation;1
Lerbs;1
Leonard Bauer & Co;1
Lenord+Bauer;1
Lem Europe At Fiege Building;1
Leineweber Mechanteile Und Sondermaschinenbau;1
Leica Geosystwms Austria;1
Leibniz Universität Hannover  Ial;1
Leibniz Universität Hannover;1
Leg Industielackiererei;1
Leeann Weiss;1
Leclanchè E Mobility;1
Lci Italy Srl Plant 303  Via Cavour 2 21040 Castronno (Va) – Italy;1
Lawatec Wasserstrahlschneiden;1
1 9 Kupferhammer;1
Lash & Lift;1
Laser Schneid Gerätebau;1
Lars Schirmer Industriedemontagen;1
Lantal Textiles;1
Lankwitzer Lackfabrik;1
Langlade Et Picard;1
Landgericht * 8 O 20 22 *;1
Landesverkehrsgesellschaft Niedersachsen Mbh (Lnvg);1
Land Schleswig Holstein C O Nah Sh;1
Lager Trelleborg Rampe 31;1
Lise Meitner Str 4;1
Lise Meitner Straße;1
Lkm;1
Ltw Intralogistics;1
Mag Christine Lanthaler;1
Mafelec –;1
Mafelec;1
M Pt Matjeschk Power Tools & Co Kg;1
Lyreco Deutschland;1
Lwr  Loco Workshop Rotterdam;1
Lutze Transportation;1
Lundgrens Sverige;1
Lukasiewicz  Centrum Badan Pojazdów;1
Lukas Hydraulik;1
Luehr Filter;1
Luebbeckerstr 240;1
Lubricant Consult;1
Ltg Servide Center;1
Lkomotion Ges Für Schienentraktion Mbh;1
Ltg Rail Denmark Aps;1
Lte Austria Fuhrparkmanagement Head Office;1
Lstom Servicestelle Br185 C O Db Railion Lokservicestelle Mhm Durchfahrt 320 Beachten;1
Lotos Kolej Z Oo;1
Lotos Kolej;1
Lotos;1
Lokomotion Gesellschaft Für Schienentraktion Mbh;1
Lokomotion;1
Logsol;1
Logistik Zollservice Heidenheim;1
Logistics Rte Des Vuarennes 50 1523 Granges Près Marnand;1
Logistic | Depot 630;1
Llp Electrovoz Kurastyru Zauyty;1
Laborex Industiezone 3 De Hez;1
Laboratory Bodo Möller;1
Laboratories Division Ima Materialforschung & Anwendungstechnik;1
Karan Singh;1
Kevin Luber Smo Rs Lmc Ep Pm;1
Keven Harnest;1
Kemokovina Krsko Doo;1
Kelvion Machine Cooling Systems;1
Keller&Kalmbach;1
Kdynium A S;1
Kaufmann;1
Kathrein Se;1
Kasper Rail Service Ug;1
Kasiglass;1
Karola Bader;1
Karl Pfestorf Präzisionsteile;1
Karl Berrang;1
Kapp Niles & Cokg Herr Stefan Adam;1
Kf Strahltechnik Dresden;1
Kapp Niles & Co Kg;1
Kangni Nanjing Economical & Technological;1
Kamet;1
Kalibrierlabor Krüger;1
Kabelbearbeitungssysteme Aac;1
Jürgens Gießerei;1
Jürgen Pommeranz;1
Jürgen Nödler;1
Jürgen Mießner;1
Jürgen Büttner;1
Jupo Mekatronik;1
Jukova Corporation Oy;1
João Pedro Teixeira (Critical Software);1
Keßler & Co Leipzig;1
Kieback & Peter & Co Kg;1
Laboratoire Oksman Seraphin 8 Rue Giotto 31520 Ramonville  France;1
Kreitzler Industriebühnen;1
Kühler & Co Kg;1
Köhler Automobiltechnik;1
Kyocera Avx Components Limited;1
Kyocera Avx Components;1
Kurz Elektroanlagen Gmbh&Co;1
Kurz Elektroanlagen & Cokg;1
Kuka Industries & Cokg;1
Kugel Edelstahlverarbeitung;1
Kts Transportgeräte & Fördertechnik & Co Kg;1
Kst Kugel Strahltechnik;1
Královopolská Slévárna Sro;1
Kroschke Sign International C O Hein;1
Kristin Barthel;1
Krautzeberger;1
Kitron Europe;1
Kraus Hardware;1
Krapf & Lex Nachf Verkehrstechnik & Cokg;1
Krapf & Lex & Co Kg;1
Kramsouth;1
Kowotec;1
Kontron Europe;1
Konica Minolta Sens Eu;1
Konecranes;1
Komsa;1
Kolster;1
Knoll Hydraulik;1
Knobloch Maschinen Und Werkzeugebau;1
Klima Tec Klimanlagen Und Standheizungen;1
Lash + Lift Zurr Und Hebetechnik;1
